./20110304_10SEH9524.laz, -121.910128613461097, -121.902261616164083, 38.1452491, 38.1461617, -0.240, 16.710
./20110304_10SEH9522.laz, -121.910329213392174, -121.901766616334157, 38.1317254, 38.1453208, -1.027, 1267.930
./20110304_10SEH9521.laz, -121.910529413323388, -121.901274216503339, 38.1182035, 38.1318039, -0.984, 22.723
./20110304_10SEH9519.laz, -121.910730413254328, -121.900779616673276, 38.1046793, 38.1182869, -1.949, 1245.205
./20110304_10SEH9518.laz, -121.910931013185404, -121.900287316842423, 38.0911569, 38.1047703, -1.802, 1223.706
./20110304_10SEH9516.laz, -121.911131813116413, -121.899793917011948, 38.0776332, 38.0912536, -1.568, 1221.859
./20110304_10SEH9515.laz, -121.911332713047386, -121.899299417181851, 38.0641101, 38.0777378, -1.339, 1248.185
./20110304_10SEH9513.laz, -121.911531912978944, -121.898787217357835, 38.0505871, 38.0642201, -0.792, 1264.336
./20110304_10SEH9512.laz, -121.91173321290978, -121.898317017519389, 38.0370634, 38.0507036, -0.802, 49.352
./20110304_10SEH9510.laz, -121.911932512841304, -121.897821817689533, 38.0235402, 38.0371874, -1.535, 85.185
./20110304_10SEH9509.laz, -121.911969612828557, -121.8977177177253, 38.0206818, 38.0236705, 4.496, 1130.853
./20110304_10SEH9424.laz, -121.927240807581597, -121.910117613464877, 38.1453215, 38.1462128, -0.366, 26.630
./20110304_10SEH9422.laz, -121.927439807513224, -121.910137513458039, 38.1318067, 38.1454777, -0.874, 1104.549
./20110304_10SEH9421.laz, -121.927638007445125, -121.910331013391556, 38.1182891, 38.1319614, -1.552, 1222.475
./20110304_10SEH9419.laz, -121.927836607376889, -121.910532213322426, 38.1047724, 38.1184444, -1.861, 1238.293
./20110304_10SEH9418.laz, -121.928034107309031, -121.910732413253641, 38.0912560, 38.1049285, -1.329, 1275.409
./20110304_10SEH9416.laz, -121.928231407241242, -121.910933013184717, 38.0777396, 38.0914114, -0.508, 1250.388
./20110304_10SEH9415.laz, -121.928428407173556, -121.911134713115416, 38.0642220, 38.0778947, -0.457, 1262.089
./20110304_10SEH9413.laz, -121.928625107105972, -121.911334813046665, 38.0507057, 38.0643775, -0.406, 1256.359
./20110304_10SEH9412.laz, -121.928822607038114, -121.911535712977638, 38.0371881, 38.0508607, -0.861, 60.147
./20110304_10SEH9410.laz, -121.929020106970256, -121.91173941290765, 38.0236717, 38.0373431, -0.942, 55.684
./20110304_10SEH9409.laz, -121.929056706957681, -121.911935212840376, 38.0209524, 38.0238279, 11.016, 46.132
./20110304_10SEH9224.laz, -121.944357601700517, -121.927235107583556, 38.1454806, 38.1462609, -1.195, 27.191
./20110304_10SEH9222.laz, -121.944553601633174, -121.927245407580017, 38.1319626, 38.1456339, -1.794, 1241.849
./20110304_10SEH9221.laz, -121.944748201566313, -121.927444807511506, 38.1184466, 38.1321170, -1.884, 1188.564
./20110304_10SEH9219.laz, -121.944943301499279, -121.927641307443992, 38.1049305, 38.1185993, -1.713, 1223.694
./20110304_10SEH9218.laz, -121.945137201432658, -121.927838807376133, 38.0914141, 38.1050824, -1.409, 1257.868
./20110304_10SEH9216.laz, -121.945330701366174, -121.928036507308207, 38.0778976, 38.0915660, -0.868, 1253.310
./20110304_10SEH9215.laz, -121.945524801299484, -121.92823420724028, 38.0643795, 38.0780491, -0.536, 1256.120
./20110304_10SEH9213.laz, -121.945718901232794, -121.92843150717249, 38.0508625, 38.0645321, -0.629, 1261.339
./20110304_10SEH9212.laz, -121.945913501165933, -121.928628707104735, 38.0373449, 38.0510158, -0.480, 9.057
./20110304_10SEH9210.laz, -121.946101201101442, -121.928827607036396, 38.0238290, 38.0374981, -0.002, 1121.682
./20110304_10SEH9209.laz, -121.946141901087458, -121.929021506969775, 38.0212754, 38.0239812, 16.123, 55.249
./20110304_10SEH9124.laz, -121.961474395819437, -121.944352601702235, 38.1456345, 38.1463089, -1.025, 2.355
./20110304_10SEH9122.laz, -121.961665495753778, -121.944362401698868, 38.1321182, 38.1457854, -1.754, 1217.414
./20110304_10SEH9121.laz, -121.961857895687672, -121.944557501631834, 38.1186007, 38.1322690, -1.360, 1161.316
./20110304_10SEH9119.laz, -121.962048695622116, -121.944750201565626, 38.1050847, 38.1187514, -1.520, 1249.557
./20110304_10SEH9118.laz, -121.96224039555625, -121.944945501498523, 38.0915677, 38.1052339, -1.489, 1246.869
./20110304_10SEH9116.laz, -121.962430895490797, -121.945140101431662, 38.0780508, 38.0917187, -1.225, 1246.811
./20110304_10SEH9115.laz, -121.962622695424898, -121.945333301365281, 38.0645339, 38.0782017, -0.558, 1257.521
./20110304_10SEH9113.laz, -121.962813895359204, -121.945528401298247, 38.0510176, 38.0646840, -0.539, 1260.448
./20110304_10SEH9112.laz, -121.963003295294129, -121.945722201231661, 38.0375005, 38.0511671, -7.242, 1157.187
./20110304_10SEH9110.laz, -121.963195495228092, -121.94591540116528, 38.0239824, 38.0376506, 0.229, 154.025
./20110304_10SEH9109.laz, -121.963225895217647, -121.946109801098487, 38.0215963, 38.0241338, 17.616, 1291.796
./20110304_10SEH8924.laz, -121.978591589938219, -121.961469395821155, 38.1457877, 38.1463582, -1.014, 12.213
./20110304_10SEH8922.laz, -121.978779789873556, -121.961479295817753, 38.1322709, 38.1459360, -1.245, 1253.232
./20110304_10SEH8921.laz, -121.978968189808825, -121.961669295752472, 38.1187539, 38.1324186, -1.121, 1218.966
./20110304_10SEH8919.laz, -121.979155789744368, -121.96185999568695, 38.1052387, 38.1189016, -1.279, 1240.238
